project_id,source,report_no,project_name,sector,language,publication_date,approval_date,total_pages,sort_present,sort_pages,section_v_present,section_v_pages,other_risk_mentions,proposed_excision_pages,remaining_planning_pages,inclusion_status,exclusion_reason,doc_urls,register_url,notes
P-UGA-IntegratedWaterMgmtDev,PAD,PAD2716,Uganda Integrated Water Management and Development Project,water,en,,,127,Y,9-10,Y,"27-28, 78-79",p78-79 Financial Management/Procurement annex near-verbatim restates R03 and is now EXCISED (see notes) - no longer 'incidental'.,"9-10, 27-28, 78-79",121,included,,https://documents1.worldbank.org/curated/en/943761529206284459/pdf/UGANDA-PAD-05252018.pdf,,"WB P163782. Prior text-only assessment: ""V. KEY RISKS"" narrative (paras 50-55) with 5 itemized risks (political/governance, institutional capacity, fiduciary/procurement, environmental and social, plus an 'Other risks' item on refugee-hosting-district social tension). PAGE-CONFIRMED 2026-07-19: real total_pages=127. CORRECTED 2026-07-19 (second pass): section_v_pages was originally recorded as 27-37 (11 pages) on the theory that Section V's lettered subsections A-G ran that whole span - this was WRONG, an over-excision bug, the mirror-image of the SORT-table under-excision bug found elsewhere in this batch. Direct fitz verification (searching each page 26-38 for the literal headings) shows ""V. KEY RISKS"" starts on page 27 and ""VI. APPRAISAL"" starts on page 28 - i.e., Section V (paras 50-55, the actual 5-risk register) is contained entirely within pages 27-28. Pages 29-37 are ""VI. APPRAISAL"" (lettered A-G: Economic/Financial Analysis, Technical, Financial Management, Procurement, Environmental and Social/Safeguards, Climate Change Co-Benefits, World Bank Grievance Redress) - legitimate Appraisal Summary planning content with zero risk-register material, wrongly swept into the excision. The earlier note claiming 'G = World Bank Grievance Redress folded inside Section V' was itself incorrect - G is the last lettered subsection of VI. APPRAISAL, not of V. KEY RISKS. Fixed: section_v_pages narrowed to 27-28, remaining_planning_pages recalculated 127-2-2=123 (was 114), extract.py re-run to restore the 9 wrongly-excised planning pages to data/processed/. sort_pages=9 confirmed as the real front-matter datasheet table (two other regex hits were false positives: page 4 is just the 'SORT' glossary/abbreviation-list entry, not a table; page 27 is a narrative cross-reference to the table, already inside the excision range). LEAK FOUND AND FIXED 2026-07-20 (src/audit_corpus.py flagged it during a first review pass, independently re-verified against the real PDF during a second pass before fixing - see results/corpus_audit_review_notes.md): PDF page 78 para 18 restates R03's fiduciary/FM finding ('Key risks envisaged under the current Project are the following: (a) ministry internal audit review reports are not shared regularly with the World Bank...'); page 79 contains a near-verbatim restatement of R03's own mitigation text ('The knowledge built, lessons learned, and corrective mechanisms put in place will provide a foundation for the IWMDP' vs. R03's mitigation 'IWMDP will benefit from the lessons learned and mechanisms put in place under the predecessor project (WMDP)') plus a detailed procurement risk assessment narrative (team-by-team experience breakdown, explicit 'procurement risk rating is High' statement) substantively overlapping R03. This was previously logged as 'incidental, same restated elsewhere pattern as Serbia/Mexico/Peru - not part of the primary register, not separately excised' - that classification predates this session's stricter standard (established fixing P-KHM/P-SLE/P-BGD). FIXED: proposed_excision_pages extended from '9-10, 27-28' to '9-10, 27-28, 78-79', remaining_planning_pages recalculated 127-6=121 (was 123), extract.py re-run, leak-checked clean afterward."
P-GTM-SmartPublicFinances,PAD,PADHI01206,Guatemala Smart Public Finances Data-Driven Public Expenditure Management (Phase 1 of a regional MPA),public financial management,en,,,43,Y,8-9,Y,"25 (program-level paragraph, not the register used); 37-38 (Guatemala-specific annex, the register this study uses)",,"8-9, 25, 37-38",38,included,,https://documents1.worldbank.org/curated/en/099082625171042221/pdf/BOSIB-6a4472a2-a645-45dd-bc0d-6e635f83b0e3.pdf,,"WB P510861. Same MPA structure as P-STP-YouthEmployment: a compressed program-level Key Risks paragraph PLUS a real, separately-itemized, country-specific Key Risks section inside 'ANNEX 1: Project Document for Guatemala's Smart Public Finances...' (own section numbering restarting from I. STRATEGIC CONTEXT) - the country-specific one (paras 54-57: technical design, institutional capacity, fiduciary) is the one this study actually uses as ground truth, exactly parallel to Sao Tome's phase-specific datasheet. PAGE-CONFIRMED 2026-07-19: real total_pages=43 (close to nothing previously known - total was entirely unconfirmed before). Program-level paragraph confirmed as a single page (25), with the Guatemala-specific Annex 1 beginning immediately on page 26. Country-specific Key Risks confirmed pages 37-38, ending cleanly at ""RESULTS FRAMEWORK AND MONITORING - PHASE 1 - GUATEMALA"" on page 39. sort_pages=8 (front-matter datasheet). Both the program-level paragraph (25) and the country-specific section (37-38) must be excised - only the latter is used for ground truth, but both must be cut for leakage safety since both are technically Key Risks content."
P-BGD-SocialProtectionResilience,PAD,PADHI01090,Bangladesh Strengthening Social Protection for Improved Resilience Inclusion and Targeting,social protection,en,,,51,Y,9,Y,34-36,,"9, 34-36",47,included,,https://documents1.worldbank.org/curated/en/099030725100532470/pdf/BOSIB-2f5f9908-944b-4e39-b29c-2f3a14dc5ea9.pdf,,"WB P508519. First real South Asia PASS this round. Prior text-only assessment claimed 3 itemized risks (political/governance, macroeconomic, fiduciary). PAGE-CONFIRMED 2026-07-19: real total_pages=51 (previously unconfirmed). Key Risks narrative confirmed pages 35-36, ending cleanly at ""ANNEX 1. RESULTS FRAMEWORK"" on page 37. sort_pages=9 (front-matter datasheet). FLAG FOR GROUND-TRUTH EXTRACTION: page 35's real text (para 57) discusses an Environmental and Social risk ('the project presents a low environmental risk and a moderate social risk, resulting in an overall moderate rating') that was NOT mentioned in the prior text-only assessment's 3-risk count - re-read the FULL narrative from scratch at extraction time rather than trusting the earlier 3-risk claim, there may be a 4th risk. LEAKAGE BUG FOUND AND FIXED 2026-07-19 (systematic boundary audit): page 34 (para 56) states 'residual procurement risk is rated Substantial due to the complexity of procurement activities, multiagency coordination, and capacity limitations' - substantively overlapping with the scored Fiduciary risk (R03), confirmed leaking verbatim into data/processed/ before the fix. Range widened to 34-36 (same logic already applied to page 35's E&S paragraph above); R03 enriched with the procurement-specific detail; extract.py re-run and re-verified leak-free. See data/ground_truth/P-BGD-SocialProtectionResilience.json notes."
P-PAK-ResilientAccessibleMicrofinance,PAD,PADHI00530,Pakistan Resilient and Accessible Microfinance (RAM) Project,financial sector,en,,,35,Y,8-9,Y,29-30,,"8-9, 29-30",31,included,,https://documents1.worldbank.org/curated/en/099022725162035607/pdf/BOSIB-88261f66-a795-4abc-9d2f-b29586ce710d.pdf,,"WB P181037. Overall risk Substantial; Section V narrates only 2 risks (political/governance=Substantial, macroeconomic=High), text explicitly framing these as the complete set. DECISION 2026-07-19 (Madhu): include as part of the short-register/hallucination-test subgroup (with KHM/JOR/MAR) - see P-KHM row for the full rationale. PAGE-CONFIRMED 2026-07-19: real total_pages=35 (previously unconfirmed). Key Risks narrative confirmed pages 29-30, ending cleanly at ""ANNEX 1. RESULTS FRAMEWORK"" on page 31. sort_pages=8 (front-matter datasheet)."
P-IND-ChhattisgarhAcceleratedLearning,PAD,PAD5281,Chhattisgarh Accelerated Learning for a Knowledge-Economy (CHALK),education,en,,,65,Y,8,Y,32,,"8, 32",63,included,,https://documents1.worldbank.org/curated/en/099092923114619719/pdf/BOSIB1880fe45718f53145911a39814e74692b3c33.pdf,,"WB P179249. Blended PforR+IPF instrument (""PROGRAM APPRAISAL DOCUMENT""). Section heading is ""V. RISKS"" with 4 lettered itemized risks: (a) political and governance, (b) technical design, (c) institutional capacity, (d) fiduciary. PAGE-CONFIRMED 2026-07-19: real total_pages=65 (previously unconfirmed). Key Risks narrative confirmed as a single page (32, packed - Accountability Mechanism/Grievance boilerplate plus the full lettered risk list on the same page), ending cleanly at ""Results Framework"" on page 33. sort_pages=8 (front-matter datasheet)."
P-NGA-AgroProcessingLivelihood,PAD,PAD1114,Nigeria Agro-Processing Productivity Enhancement and Livelihood Improvement Support Project,agriculture,en,2017-03-06,,102,Y,6-7,Y,27-29,,"6-7, 27-29",97,included,,https://documents1.worldbank.org/curated/en/975301490493660427/pdf/Nigeria-PAD-03062017.pdf,,"WB (project acronym APPEALS). One of the richest registers found this session. PAGE-CONFIRMED 2026-07-19: real total_pages=102. Full-text read (not just a preview) confirms Key Risks narrative spans EXACTLY pages 27-29 (paras 64-74): para 64 (overall rating), para 65 (overall explanation), para 66 (political/governance=Substantial), para 67 (macroeconomic=Substantial), para 68 (sector policies=Substantial), para 69 (technical design=Moderate, narrated despite not being Substantial - a pattern-break like Albania's), para 70 (institutional capacity=Substantial), para 71-72 (fiduciary/procurement=Substantial), para 73 (environment and social=Substantial), para 74 (stakeholders/gender=narrated, unrated) - 8 distinct risk categories, richer than originally estimated (7). Confirmed ending cleanly at ""VI. APPRAISAL SUMMARY"" starting on page 30 (this document has an unusual section order: Key Risks (V) precedes Appraisal Summary (VI), the reverse of most other corpus documents where Appraisal Summary precedes Key Risks - worth a note in the paper's structural-variants paragraph). Pages 30+ (economic/financial analysis, procurement, environmental safeguards) are Appraisal Summary content, NOT Key Risks - an earlier quick read of a short preview of those pages was initially mistaken for evidence Key Risks might extend further; a full-page read resolved this. sort_pages=6 (front-matter datasheet, previously unconfirmed)."
P-AFW-HealthSecurityPhase3,PAD,PADHI01189,Health Security Program in Western and Central Africa - Phase III,health / regional public health security,en,,,84,Y,11,Y,46-47,"p60 (ANNEX 1, CEMAC) and p84 (ANNEX 5, Republic of Congo) each contain one brief prose sentence mentioning 'key risks' to that entity's implementation - incidental summary language, NOT a separately-itemized SORT-style register like Guatemala's annex has; not separately excised beyond noting it here","11, 46-47",81,included,,https://documents1.worldbank.org/curated/en/099100925151524847/pdf/BOSIB-ba14ceb5-4f0b-4e17-8fc0-7968b33d641a.pdf,,"WB P508837 (HeSP-3), regional MPA covering Cameroon, Central African Republic, Chad, Republic of Congo, and CEMAC. PAGE-CONFIRMED 2026-07-19: real total_pages=84 (earlier assessment could not see past printed page 20 and had zero visibility into the actual narrative). Key Risks narrative confirmed pages 46-47 (item (iv) Fiduciary=Substantial visible on page 47; items (i)-(iii) precede it, on page 46 after preceding RCCE/Component 3 project-description content ends), ending cleanly at ""III. RESULTS FRAMEWORK AND MONITORING"" on page 48. sort_pages=11 (front-matter datasheet). RESOLVED: the open question about whether this MPA's real usable register lives in a country-specific annex (as with Guatemala) is NO - checked all 5 annex regions (pages 56-84) directly; only 2 of 5 (CEMAC, RoC) even mention 'key risks' at all, and both are just a single incidental prose sentence, not a separate itemized register. The program-level section (46-47) is the real, only usable register for this document."
P-JOR-InnovativeStartupsSMEsFund2,PAD,PADHI01129,Jordan Innovative Startups and SMEs Fund 2.0,private sector development / venture finance,en,,,40,Y,7-8,Y,35,,"7-8, 35",37,included,,https://documents1.worldbank.org/curated/en/099031225175542726/pdf/BOSIB-e7273b48-ac05-4be6-9fbb-1055f30bcd38.pdf,,"WB P507684. First MENA-region candidate this session. 9-category SORT table; overall risk Moderate. ""V. KEY RISKS"" narrative (paras 83-85) narrates only 2 risks: Macroeconomic (Substantial) and 'Other'/geopolitical (Substantial). DECISION 2026-07-19 (Madhu): include as part of the short-register/hallucination-test subgroup (with KHM/PAK/MAR) - see P-KHM row for the full rationale. PAGE-CONFIRMED 2026-07-19: real total_pages=40 (close to the directly-read estimate). Key Risks narrative confirmed as a single page (35), ending cleanly at ""IV. ANNEX 1. RESULTS FRAMEWORK"" on page 36 - matches the direct read done earlier this session exactly. sort_pages=7 (front-matter datasheet)."
P-MAR-SecondIdentityTargetingSocialProtection,PAD,PADHI00672,Morocco Second Identity and Targeting for Social Protection Project,social protection / digital identity,en,,,48,Y,8-9,Y,36,,"8-9, 36",45,included,,https://ewsdata.rightsindevelopment.org/files/documents/98/WB-P504398_rjuVHDG.pdf,,"WB P504398. Second MENA-region candidate this session. NOTE doc_urls host is a third-party mirror (ewsdata.rightsindevelopment.org), not documents1.worldbank.org directly - still worth re-locating the direct WB copy before ground truth extraction, though content matches official WB formatting. 9-category SORT table; overall risk Moderate. ""VI. KEY RISKS"" narrative (paras 90-91, extra Grievance Redress section precedes it) narrates exactly ONE risk: Stakeholders (Substantial). DECISION 2026-07-19 (Madhu): include as part of the short-register/hallucination-test subgroup (with KHM/PAK/JOR) - see P-KHM row for the full rationale. PAGE-CONFIRMED 2026-07-19: real total_pages=48 (close to the directly-read estimate). Key Risks narrative confirmed as a single page (36), ending cleanly at ""RESULTS FRAMEWORK AND MONITORING"" on page 37 - matches the direct read done earlier this session exactly. sort_pages=8 (front-matter datasheet)."
P-UK-HyNetCCUSCluster,UK FBC (Five Case Model),,HyNet Cluster CCUS (Track-1 CCUS Cluster Sequencing),energy / carbon capture and storage,en,2025-06-25,,45,N,,Y,"13-14, 20-21, 27, 32, 36-38","Exec Summary Sec 1.6 'Deliverability and risks' pp.11-12 (narrative, 6 items); Economic Case Sec 3.7 'Risk Appraisal' pp.25-26 (2 quantified NPV/VfM sensitivity tables, 9 items total across Table 8 cross-chain + Table 9 cross-cutting); Commercial Case Sec 4.2.4 'Cluster-level commercial risk assessment' pp.30-31 (narrative synthesis referencing back to Sec 2.5's T1SR1/T1SR3); Financial Case Sec 5.7 'Financial Risks' (~p.34+, 11 sub-items per source TOC) and Sec 6 Management Case: content NEVER RETRIEVED - web_fetch truncated the ~40pp source before reaching them - unverified whether they contain risk content requiring excision.","13-14, 20-21, 27, 32, 36-38",36,included,,"https://www.gov.uk/government/publications/hynet-cluster-ccus-full-business-case ; direct PDF (unreachable from sandbox, see notes): https://assets.publishing.service.gov.uk/media/685bbbb5c07c71e5a8709799/hynet-full-business-case.pdf",,"First UK candidate explored 2026-07-19. UK Five Case Model business cases are structurally very different from WB PADs: risk content is scattered across (at minimum) 4 sections in 3 incompatible framings (narrative prose w/ mitigation, a rated table, and quantified NPV/VfM sensitivity tables) rather than WB's one consolidated SORT table + Key Risks narrative. An initial 'merge all risk-bearing sections into one register' approach (approved then reconsidered same day) was abandoned after this document alone showed it would require subjective, hard-to-defend judgment calls reconciling those 3 framings, for uncertain benefit and at real cost to the Aug-2026 timeline. DECISION 2026-07-19 (Madhu): ground truth = ONE section per UK document, the closest structural analog to a WB SORT-table register - for this document, Sec 2.5 'Identify high level potential risks' (T1SR1, T1SR3, T1SR4, T1SR5; T1SR2 genuinely absent from the source, not an extraction gap). All other risk-bearing sections are still excised from model-facing text (leakage safety - a model should not see pre-digested risk content in any framing) but are not scored against. See data/ground_truth/P-UK-HyNetCCUSCluster.json for the draft register and full rating-conversion methodology. STATUS: draft/unverified - built from web-fetch-extracted text, not a direct local PDF read. Sandbox bash/curl cannot reach assets.publishing.service.gov.uk (confirmed blocked, unlike documents.worldbank.org-style hosts used for the WB corpus); web_fetch can reach it but only returns extracted, truncated text, not the raw PDF - so exact page boundaries are NOT independently verified the way every WB row in this manifest was, and pp.34+ were never even retrieved. DO NOT promote to inclusion_status=included until the real PDF is obtained (Madhu's machine or an environment with normal unrestricted internet access) and independently page-verified the same way the WB corpus was - that exact discipline caught 2 real bugs (SORT-table under-excision, Uganda over-excision) this project already, so skipping it here is not advisable. PAGE-VERIFIED 2026-07-19 (real PDF downloaded and read directly with PyMuPDF): every page number in this row was wrong by a consistent 2-page offset versus the real document, and Sec 5.7 'Financial risks' (pp.36-38, 11 named sub-items) plus Sec 6 'Management Case' were retrieved for the first time - Sec 5.7 substantively overlaps the scored risks and is now included in the excision range; Sec 6.7 'Risk management' (pp.44-45) is confirmed pure process description with no named/rated risk items, left as planning text. Promoted to inclusion_status=included now that page verification is complete. See data/ground_truth/P-UK-HyNetCCUSCluster.json notes for full detail."
P-UK-PadeswoodCCUS,UK SBC (Five Case Model),,Padeswood CCUS Project,energy / carbon capture and storage,en,2025-10-24,,17,N,,Y,"10-11, 14-15","p12 (Commercial Case Sec 4.3-4.4) generic 'mitigate key investment risks' / 'cross-chain risks' / force majeure contract-clause language, echoing but not naming/rating Sec 5.4's Discontinuation risk (incidental, not excised - see ground truth notes)","10-11, 14-15",13,included,,https://www.gov.uk/government/publications/padeswood-ccus-project-summary-business-case,,"WB-style row fields repurposed for a UK Summary Business Case (Five Case Model), 17 pages, PyMuPDF direct read 2026-07-19. Risk content in two incompatible framings: Economic Case Sec 3.4 'Risk Appraisal' (p.10-11, Tables 4-5: 10 named cross-chain/cross-cutting risks with a one-line VfM-impact label, no mitigation field) and Financial Case Sec 5.4 'Financial Risks' (p.14-15, 6 named sub-items 5.4.1-5.4.6 with real mitigating mechanisms). DECISION 2026-07-19: ground truth register = Sec 5.4 only (has mitigation content, unlike Sec 3.4); Sec 3.4 still excised for leakage safety but not scored, same rule as HyNet. Sec 6.6 'Risk management' (p.17) is pure process description, left as planning text. inclusion_status=included. See data/ground_truth/P-UK-PadeswoodCCUS.json for the full register, rating-convention caveats, and the page-12 judgment call. CORRECTED 2026-07-21: remaining_planning_pages was stale at 15 (computed before Sec 3.4's 10-11 was added to the excised range alongside Sec 5.4's 14-15) - recomputed as total_pages(17) minus both excised ranges(4 pages)=13. 13<15 means this project falls below INCLUSION_CRITERIA.md's '>=15 pages of planning content survive excision' threshold once correctly computed; already included. DECIDED 2026-07-22 (Madhu): keep as a documented exception rather than exclude - see INCLUSION_CRITERIA.md gate 4's disclosed-exception note for the full reasoning."
P-UK-SizewellC,UK SBC (Five Case Model),,Sizewell C Project,energy / nuclear,en,2026-02-24,,23,N,,N,,,,,excluded,"No itemized/named/rated risk register anywhere in the document, unlike HyNet and Padeswood. Confirmed via full direct PDF read (23 pages, PyMuPDF, 2026-07-19), not a sample judgment. 'Risk' appears only generically: GSP 'provide[s] targeted support for these risks to investors' (high impact/low probability, unnamed), 'Risk arrangements, aligned to industry best practice, have been set up to create a culture whereby all staff understand their responsibilities to identify and manage risks' (pure process statement), and a Liaison Committee forum to discuss 'any risks faced by SZC' (no itemization). Confirms the earlier pre-read flag that this candidate likely fails inclusion criteria.",https://www.gov.uk/government/publications/sizewell-c-project-summary-business-case,,"NOT YET READ. Selected for sector diversity (nuclear, distinct from the CCUS candidates). See P-UK-PadeswoodCCUS row for the general SBC-format rationale. NEXT STEP: obtain real PDF, verify directly. EXCLUDED 2026-07-19 after full direct PDF read - see exclusion_reason."
